Candidato;N;Partido;Coligacao;Votos;% Validos;status
DR. ABELHA;6500;PC DO B;PRB / PT / PR / PC do B / PT do B;7.345;0,03%;eliminado
GUSTAVO PETTA;6510;PC DO B;PRB / PT / PR / PC do B / PT do B;60.156;0,28%;eliminado
SIDNEI MARTINS;6511;PC DO B;PRB / PT / PR / PC do B / PT do B;4.57;0,02%;eliminado
JUNIOR APRILLANTI;6512;PC DO B;PRB / PT / PR / PC do B / PT do B;27.359;0,13%;eliminado
CêLIO TURINO;6513;PC DO B;PRB / PT / PR / PC do B / PT do B;10.736;0,05%;eliminado
DR. PAULO POLO;6522;PC DO B;PRB / PT / PR / PC do B / PT do B;2.673;0,01%;eliminado
BEZ«O;6533;PC DO B;PRB / PT / PR / PC do B / PT do B;2.009;0,01%;eliminado
BENEH SANTOS;6535;PC DO B;PRB / PT / PR / PC do B / PT do B;1.646;0,01%;eliminado
PADRE PEDRO;6555;PC DO B;PRB / PT / PR / PC do B / PT do B;1.311;0,01%;eliminado
ALDO REBELO;6565;PC DO B;PRB / PT / PR / PC do B / PT do B;132.109;0,62%;eleito
DELEGADO PROT‡GENES;6588;PC DO B;PRB / PT / PR / PC do B / PT do B;94.906;0,45%;eleito
JUCA CHAVES;2200;PR;PRB / PT / PR / PC do B / PT do B;13.217;0,06%;eliminado
AGNALDO TIMOTEO;2212;PR;PRB / PT / PR / PC do B / PT do B;25.174;0,12%;eliminado
TIRIRICA;2222;PR;PRB / PT / PR / PC do B / PT do B;1.353.820;6,35%;eleito
PR PAULO FREIRE;2233;PR;PRB / PT / PR / PC do B / PT do B;161.083;0,76%;eleito
LUCIANA COSTA;2250;PR;PRB / PT / PR / PC do B / PT do B;36.873;0,17%;eliminado
MILTON MONTI;2255;PR;PRB / PT / PR / PC do B / PT do B;131.654;0,62%;eleito
VALDEMAR COSTA NETO;2299;PR;PRB / PT / PR / PC do B / PT do B;174.826;0,82%;eleito
DR. ELIEZER COSTA;1000;PRB;PRB / PT / PR / PC do B / PT do B;2.314;0,01%;eliminado
CêSAR CRUZ GARCIA;1001;PRB;PRB / PT / PR / PC do B / PT do B;767;0,00%;eliminado
ANTONIO BULHÂES;1010;PRB;PRB / PT / PR / PC do B / PT do B;162.667;0,76%;eleito
JOSê TEOFILO;1011;PRB;PRB / PT / PR / PC do B / PT do B;788;0,00%;eliminado
ALESSANDER VIGNA;1012;PRB;PRB / PT / PR / PC do B / PT do B;3.498;0,02%;eliminado
ELCIO AMANCIO;1013;PRB;PRB / PT / PR / PC do B / PT do B;2.147;0,01%;eliminado
OTONIEL LIMA;1023;PRB;PRB / PT / PR / PC do B / PT do B;95.971;0,45%;eleito
ROSANA STAR;1024;PRB;PRB / PT / PR / PC do B / PT do B;934;0,00%;eliminado
RATINHO;1030;PRB;PRB / PT / PR / PC do B / PT do B;572;0,00%;eliminado
LUIZ SOARES;1040;PRB;PRB / PT / PR / PC do B / PT do B;1.621;0,01%;eliminado
LUCAS ANTUNES;1044;PRB;PRB / PT / PR / PC do B / PT do B;1.243;0,01%;eliminado
ERO;1045;PRB;PRB / PT / PR / PC do B / PT do B;584;0,00%;eliminado
PROF. WATASE;1055;PRB;PRB / PT / PR / PC do B / PT do B;315;0,00%;eliminado
PROF. CHARLES;1091;PRB;PRB / PT / PR / PC do B / PT do B;899;0,00%;eliminado
IVANIO BATISTA;1300;PT;PRB / PT / PR / PC do B / PT do B;8.02;0,04%;eliminado
VICENTE CANDIDO;1301;PT;PRB / PT / PR / PC do B / PT do B;160.242;0,75%;eleito
PROFESSOR JAIR BALESTRA;1302;PT;PRB / PT / PR / PC do B / PT do B;5.828;0,03%;eliminado
MARQUINHOS OL÷VIO;1303;PT;PRB / PT / PR / PC do B / PT do B;0;0,00%;eliminado
TOM;1305;PT;PRB / PT / PR / PC do B / PT do B;720;0,00%;eliminado
TUNAI;1307;PT;PRB / PT / PR / PC do B / PT do B;799;0,00%;eliminado
GERALDINHO O ILUMINADO;1309;PT;PRB / PT / PR / PC do B / PT do B;386;0,00%;eliminado
IARA BERNARDI;1310;PT;PRB / PT / PR / PC do B / PT do B;73.517;0,34%;eliminado
LARGUESA;1311;PT;PRB / PT / PR / PC do B / PT do B;29.168;0,14%;eliminado
VACCAREZZA;1312;PT;PRB / PT / PR / PC do B / PT do B;131.685;0,62%;eleito
GENOINO;1313;PT;PRB / PT / PR / PC do B / PT do B;92.362;0,43%;eliminado
OSMAR LOPES;1314;PT;PRB / PT / PR / PC do B / PT do B;12.292;0,06%;eliminado
