Candidato;N;Partido;Coligacao;Votos;% Validos;status
MANOEL MOREIRA;1123;PP;;3.354;0,02%;eliminado
ADELINA ALCANTARA MACHADO;1124;PP;;1.3;0,01%;eliminado
LIBERATO DE VALENTIM GENTIL;1125;PP;;0;0,00%;eliminado
RENATO AMORIM;1126;PP;;677;0,00%;eliminado
LAURINDO BARNARDES;1127;PP;;5.727;0,03%;eliminado
RICARDO RUSSOMANNO;1128;PP;;0;0,00%;eliminado
JO«O FADEL;1130;PP;;36.078;0,17%;eliminado
MAURICIO MARTINS;1131;PP;;5.121;0,02%;eliminado
PEDRINHO BARACAT;1132;PP;;2.689;0,01%;eliminado
ALINE CORREA;1133;PP;;78.317;0,37%;eleito
ELIAS BITENCOURT;1135;PP;;4.812;0,02%;eliminado
PAULO BASSOLI;1136;PP;;1.395;0,01%;eliminado
PASTOR MARCOS MOTOLO;1137;PP;;727;0,00%;eliminado
TELLES;1139;PP;;454;0,00%;eliminado
MARCELO CORREIA;1140;PP;;10.466;0,05%;eliminado
CATARINA RIGINIK;1141;PP;;4.099;0,02%;eliminado
CLAUDIO SABINO;1142;PP;;1.45;0,01%;eliminado
DRA ADRIANA DA COSTA;1143;PP;;31.119;0,15%;eliminado
BETO MANSUR;1144;PP;;0;0,00%;eliminado
ADHEMAR DE BARROS FILHO;1145;PP;;6.632;0,03%;eliminado
LAYRTON INFANTE;1147;PP;;8.719;0,04%;eliminado
MOURAD;1151;PP;;3.246;0,02%;eliminado
"MAURICIO ""TCH“ DA TORRE""";1152;PP;;671;0,00%;eliminado
CABO WILSON;1154;PP;;16.517;0,08%;eliminado
MISSIONµRIO JOSê OLIMPIO;1155;PP;;160.813;0,75%;eleito
FERNANDO STANCATTI;1156;PP;;4.519;0,02%;eliminado
MAURICIO HAKA;1158;PP;;13.45;0,06%;eliminado
ERIVAN;1160;PP;;1.517;0,01%;eliminado
PEDRINHO ISHIDA;1161;PP;;1.211;0,01%;eliminado
SILVIA MARIA;1166;PP;;332;0,00%;eliminado
TUC«O;1167;PP;;6.85;0,03%;eliminado
DR NECHAR;1169;PP;;46.165;0,22%;eliminado
DELEGADA GRACIELA;1170;PP;;62.225;0,29%;eliminado
EDSON REIS;1173;PP;;634;0,00%;eliminado
MARIO YAMASHITA;1178;PP;;714;0,00%;eliminado
CARL«O FELIPE;1180;PP;;5.715;0,03%;eliminado
NETO BELUCI;1181;PP;;29.822;0,14%;eliminado
PRICILA MENIN;1187;PP;;1.754;0,01%;eliminado
JORGE WILSON;1188;PP;;13.498;0,06%;eliminado
CAPIT«O CRIVELARI;1190;PP;;4.87;0,02%;eliminado
DR LêO KAHN;1191;PP;;7.396;0,03%;eliminado
FARIA LIMA;1197;PP;;804;0,00%;eliminado
MARCELO MARIANO;1198;PP;;12.938;0,06%;eliminado
VAD«O;1199;PP;;56.277;0,26%;eliminado
JAMIL PRUDENCIANO;5000;PSOL;;1.603;0,01%;eliminado
RAFAEL MOYA;5001;PSOL;;1.236;0,01%;eliminado
CREUSA LIMA;5002;PSOL;;303;0,00%;eliminado
PROFESSOR CARLOS DATOVO;5003;PSOL;;700;0,00%;eliminado
WELLINGTON SUCAM;5004;PSOL;;0;0,00%;eliminado
PROF¶ M¶ DOLORES;5005;PSOL;;1.967;0,01%;eliminado
PROFESSOR SAULO CARVALHO;5006;PSOL;;797;0,00%;eliminado
CABRAL DOS QUIMICOS;5007;PSOL;;1.011;0,00%;eliminado
JASPER;5008;PSOL;;98;0,00%;eliminado
SOL;5009;PSOL;;170;0,00%;eliminado
JUNIA GOUVEA;5010;PSOL;;0;0,00%;eliminado
ANIVALDO;5011;PSOL;;1.001;0,00%;eliminado
ADILSON RODRIGUES;5012;PSOL;;2.485;0,01%;eliminado
MAURICIO COSTA;5013;PSOL;;0;0,00%;eliminado
JOAO SILVERIO;5014;PSOL;;904;0,00%;eliminado
RODRIGO CHIZOLINI;5015;PSOL;;5.787;0,03%;eliminado
PROFESSOR ROBERTO CARLOS;5016;PSOL;;325;0,00%;eliminado
ALDA FRANCO;5017;PSOL;;0;0,00%;eliminado
FABIO DO PSOL;5018;PSOL;;1.302;0,01%;eliminado
TERESA COSTA;5019;PSOL;;262;0,00%;eliminado
AKIKO AKI;5020;PSOL;;1.301;0,01%;eliminado
CICERO DO POSTO;5021;PSOL;;933;0,00%;eliminado
PROF. NETO;5022;PSOL;;523;0,00%;eliminado
Zê NILDO;5023;PSOL;;0;0,00%;eliminado
MARKETTY;5024;PSOL;;0;0,00%;eliminado
DRA. JÈLIA;5025;PSOL;;1.852;0,01%;eliminado
DARIO ADVOGADO;5026;PSOL;;0;0,00%;eliminado
ANDRE DO J. CêLIO;5027;PSOL;;1.698;0,01%;eliminado
FAUSTO NETO;5028;PSOL;;367;0,00%;eliminado
JULIANO MATOS;5030;PSOL;;0;0,00%;eliminado
ARIADNE LIBERATO;5031;PSOL;;684;0,00%;eliminado
JOSE HENRIQUE DA EDUCAÄ«O;5032;PSOL;;0;0,00%;eliminado
ERIC NUNES;5033;PSOL;;446;0,00%;eliminado
FERNANDO BORGES;5034;PSOL;;1.188;0,01%;eliminado
PROFESSORA PATRICIA;5035;PSOL;;584;0,00%;eliminado
JANDUHY ALENCAR;5036;PSOL;;554;0,00%;eliminado
HENRIQUE PADOVANI;5037;PSOL;;262;0,00%;eliminado
JOSê CARLOS DOS SANTOS;5038;PSOL;;166;0,00%;eliminado
ZE GERALDO;5039;PSOL;;0;0,00%;eliminado
RODRIGO PAIXAO;5040;PSOL;;3.567;0,02%;eliminado
PEDRO ROBERTO;5041;PSOL;;6.737;0,03%;eliminado
NELSON OLIVEIRA;5042;PSOL;;579;0,00%;eliminado
CAROLA;5043;PSOL;;0;0,00%;eliminado
DUDA;5044;PSOL;;0;0,00%;eliminado
OSMAR VILELA;5045;PSOL;;329;0,00%;eliminado
KAREN MARTINS;5046;PSOL;;159;0,00%;eliminado
LUIZ CARLOS DOS SANTOS;5047;PSOL;;0;0,00%;eliminado
CID«O;5048;PSOL;;0;0,00%;eliminado
ELISEU SOARES;5049;PSOL;;313;0,00%;eliminado
IVAN VALENTE;5050;PSOL;;189.014;0,89%;eleito
VALDEMAR VALENTIN;5051;PSOL;;337;0,00%;eliminado
JOHN KENNEDY;5052;PSOL;;454;0,00%;eliminado
ADEMIR ê FEDERAL;5053;PSOL;;1.237;0,01%;eliminado
BAHREYN;5054;PSOL;;0;0,00%;eliminado
PROFESSORA MµRCIA TAVARES;5055;PSOL;;2.194;0,01%;eliminado
RICARDO ALVAREZ;5056;PSOL;;5.288;0,02%;eliminado
PROFESSORA LOURDES;5057;PSOL;;0;0,00%;eliminado
RICARDO DUTRA;5059;PSOL;;239;0,00%;eliminado
MARZENI;5060;PSOL;;1.758;0,01%;eliminado
PROFESSORA RITA;5061;PSOL;;383;0,00%;eliminado
PEDRO BOM;5062;PSOL;;0;0,00%;eliminado
EDSON MACIEL;5063;PSOL;;303;0,00%;eliminado
RAMALHAO;5065;PSOL;;678;0,00%;eliminado
MARIO CONCEIÄ«O;5066;PSOL;;665;0,00%;eliminado
ROSELI QUEIROZ;5067;PSOL;;271;0,00%;eliminado
ANIZIO BATISTA;5068;PSOL;;1.453;0,01%;eliminado
ALEXANDRE TULLII (NINJA);5069;PSOL;;0;0,00%;eliminado
HELTON BASTOS;5070;PSOL;;1.06;0,00%;eliminado
ADEMIR;5071;PSOL;;0;0,00%;eliminado
PROF. SIDNEI;5072;PSOL;;110;0,00%;eliminado
THIAGO FLORIO;5073;PSOL;;1.589;0,01%;eliminado
ANDREIA MARQUES;5074;PSOL;;0;0,00%;eliminado
MARIANA CONTI;5075;PSOL;;3.133;0,01%;eliminado
ANSELMO PIRES;5077;PSOL;;0;0,00%;eliminado
CARLOS ROCHA;5079;PSOL;;855;0,00%;eliminado
PROFESSOR DANIEL;5080;PSOL;;0;0,00%;eliminado
NOBEL SOARES DE OLIVEIRA;5081;PSOL;;947;0,00%;eliminado
ZENI;5082;PSOL;;349;0,00%;eliminado
JULIANO ROCHA;5083;PSOL;;649;0,00%;eliminado
RAIMUNDO FE;5084;PSOL;;13;0,00%;eliminado
SERGIO CABEÄA;5085;PSOL;;316;0,00%;eliminado
LUIS«O;5088;PSOL;;0;0,00%;eliminado
SANDRO VIEIRA;5089;PSOL;;0;0,00%;eliminado
PROF. MAGNO PERES;5090;PSOL;;193;0,00%;eliminado
DENILCE CRUZ;5093;PSOL;;74;0,00%;eliminado
MARIA ARRAIS;5094;PSOL;;0;0,00%;eliminado
MATEUS NOVAES;5095;PSOL;;638;0,00%;eliminado
IVANY SANCHES;5096;PSOL;;203;0,00%;eliminado
POLAKO BRAND«O;5097;PSOL;;115;0,00%;eliminado
NEIDE REGES;5098;PSOL;;313;0,00%;eliminado
RENATA OLIVEIRA;5099;PSOL;;0;0,00%;eliminado
JOAO ZAFALAO;1600;PSTU;;2.92;0,01%;eliminado
SILVIA FERRARO;1603;PSTU;;586;0,00%;eliminado
TONINHO;1616;PSTU;;6.709;0,03%;eliminado
FATIMA FERNANDES;1626;PSTU;;416;0,00%;eliminado
PAULINHO;1636;PSTU;;0;0,00%;eliminado
CLAURY;1400;PTB;;29.265;0,14%;eliminado
ALEXANDRE COSTA;1401;PTB;;1.997;0,01%;eliminado
GEORGIA ROSSI;1402;PTB;;0;0,00%;eliminado
GERALDO MAGELA QUADROS;1403;PTB;;207;0,00%;eliminado
CORONEL GOULART;1404;PTB;;2.286;0,01%;eliminado
VAMPETA;1405;PTB;;15.3;0,07%;eliminado
ERNESTO NETO;1406;PTB;;612;0,00%;eliminado
WANDA CORR“A;1407;PTB;;2.333;0,01%;eliminado
KELLY STORALLI;1408;PTB;;243;0,00%;eliminado
PAI FRANCISCO DE OXUM;1409;PTB;;941;0,00%;eliminado
NADUR;1410;PTB;;2.006;0,01%;eliminado
SANTANA;1411;PTB;;4.261;0,02%;eliminado
PIRU;1412;PTB;;976;0,00%;eliminado
ESTER;1413;PTB;;1.65;0,01%;eliminado
ROBSON TUMA;1414;PTB;;25.849;0,12%;eliminado
RICARDO OLIVEIRA;1415;PTB;;10.449;0,05%;eliminado
JORGE MARINGOLO;1416;PTB;;1.721;0,01%;eliminado
CARLINHOS SARAIVA;1417;PTB;;6.795;0,03%;eliminado
EDNA REGINA;1419;PTB;;263;0,00%;eliminado
DR SILNEY BERALDO;1420;PTB;;2.722;0,01%;eliminado
VITOR DO SUPER JOSê;1421;PTB;;1.069;0,01%;eliminado
TICO DO TRANSPORTE ESCOLAR;1422;PTB;;4.872;0,02%;eliminado
GOMES LOPES;1423;PTB;;0;0,00%;eliminado
OBAMA BRASIL;1424;PTB;;902;0,00%;eliminado
ZURAH;1426;PTB;;650;0,00%;eliminado
CLEOMENES JUNIOR;1427;PTB;;1.592;0,01%;eliminado
PROF CLAUDIO ZANUTIM;1428;PTB;;571;0,00%;eliminado
AMIRAH SABA DA METROPOLITANAFM;1430;PTB;;2.35;0,01%;eliminado
IVAN VIGILANTE;1431;PTB;;0;0,00%;eliminado
LEDA DE ABREU MORRINHOS;1432;PTB;;0;0,00%;eliminado
SINVAL DORIGON;1433;PTB;;5.634;0,03%;eliminado
NELSON MARQUEZELLI;1434;PTB;;117.634;0,55%;eleito
CARLOS BURGHI;1435;PTB;;551;0,00%;eliminado
MARCOS CRIPPA;1436;PTB;;7.57;0,04%;eliminado
FRANCISCO MESQUITA;1437;PTB;;393;0,00%;eliminado
CELSO MENDES;1438;PTB;;618;0,00%;eliminado
AUREA RODRIGUES;1439;PTB;;369;0,00%;eliminado
WALDOMIRO RAMOS;1440;PTB;;14.16;0,07%;eliminado
DR MOYSES;1441;PTB;;6.947;0,03%;eliminado
CIDA ALVES;1442;PTB;;464;0,00%;eliminado
LUIZ MIELLI;1443;PTB;;968;0,00%;eliminado
SATURNINO DE BRITO;1444;PTB;;649;0,00%;eliminado
MALU PARISI;1445;PTB;;842;0,00%;eliminado
PATRICIA RONG;1446;PTB;;216;0,00%;eliminado
BRESSAN;1447;PTB;;711;0,00%;eliminado
IRM«O TI«OZINHO SOLDADOR;1448;PTB;;825;0,00%;eliminado
WALTER HERMAN;1449;PTB;;125;0,00%;eliminado
CIGANA;1450;PTB;;487;0,00%;eliminado
SONIA CRISTIANO;1451;PTB;;1.468;0,01%;eliminado
ARNALDO FARIA DE Sµ;1452;PTB;;192.336;0,90%;eleito
TIM;1453;PTB;;1.13;0,01%;eliminado
CELIO DINIZ;1454;PTB;;16.716;0,08%;eliminado
CLAUDIA SARTORI;1455;PTB;;1.701;0,01%;eliminado
CAJAI;1457;PTB;;583;0,00%;eliminado
MADONNAKµ ê KATIA THOMê;1458;PTB;;490;0,00%;eliminado
MARADONA DO BRASIL;1459;PTB;;0;0,00%;eliminado
DR¶ NILCE SEGALLA;1460;PTB;;8.802;0,04%;eliminado
CARLOS JUNG;1461;PTB;;731;0,00%;eliminado
CHARLES CAVALCANTE;1462;PTB;;586;0,00%;eliminado
SAITO-SAN;1464;PTB;;850;0,00%;eliminado
PASTORA SUELY LOPES;1465;PTB;;737;0,00%;eliminado
WALTER CAVEANHA;1466;PTB;;18.389;0,09%;eliminado
ATOR PABLO CIVITELLA;1467;PTB;;3.438;0,02%;eliminado
TEREZINHA DE JESUS;1468;PTB;;542;0,00%;eliminado
ISRAEL LACERDA;1469;PTB;;14.984;0,07%;eliminado
FRANK AGUIAR;1470;PTB;;46.154;0,22%;eliminado
SONIA GARCIA;1471;PTB;;538;0,00%;eliminado
PASTOR JOAO ALMEIDA;1472;PTB;;2.597;0,01%;eliminado
LUCIA HELENA;1473;PTB;;173;0,00%;eliminado
DR ANDRE ROCHA;1474;PTB;;7.022;0,03%;eliminado
DR BENTO MACHADO;1475;PTB;;3.369;0,02%;eliminado
NARA ALBUQUERQUE;1476;PTB;;0;0,00%;eliminado
PADRE FERNANDO;1477;PTB;;9.693;0,05%;eliminado
EMELLY OLIVEIRA;1478;PTB;;521;0,00%;eliminado
VERONICA TAVARES;1479;PTB;;136;0,00%;eliminado
DR GIOVANNI MELONE;1480;PTB;;2.281;0,01%;eliminado
PEIXE ZONA SUL;1481;PTB;;767;0,00%;eliminado
REIZINHO;1482;PTB;;289;0,00%;eliminado
PROFESSORA FATIMA;1483;PTB;;323;0,00%;eliminado
IVAN GUALBERTO;1484;PTB;;565;0,00%;eliminado
ILDA ROMA;1485;PTB;;193;0,00%;eliminado
MARCIACLEIDE FERREIRA;1487;PTB;;205;0,00%;eliminado
DR SEGURA;1488;PTB;;5.802;0,03%;eliminado
ELIANA BORGES;1489;PTB;;435;0,00%;eliminado
CORREA NETO;1490;PTB;;1.344;0,01%;eliminado
CORACI DE PAULA;1491;PTB;;43;0,00%;eliminado
NICE DA CHINELA;1492;PTB;;377;0,00%;eliminado
VANDERLEI TRIST«O / TICO;1493;PTB;;5.756;0,03%;eliminado
PROF SERGIO MURBACK;1494;PTB;;242;0,00%;eliminado
TENENTE SêRGIO;1495;PTB;;157;0,00%;eliminado
WALTER TEODORO / ASP;1496;PTB;;364;0,00%;eliminado
DR KAMEIR«O;1498;PTB;;1.135;0,01%;eliminado
CUCA BECKER;1499;PTB;;305;0,00%;eliminado
MARC«O AUTO ESCOLA;3600;PTC;;5.691;0,03%;eliminado
ANGELA DO JUDICIARIO;3601;PTC;;304;0,00%;eliminado
GERSON PAULO;3602;PTC;;217;0,00%;eliminado
SADALA;3603;PTC;;213;0,00%;eliminado
ANA CABO;3604;PTC;;105;0,00%;eliminado
PAULO ROBERTO;3605;PTC;;70;0,00%;eliminado
EUSA BARBOSA;3606;PTC;;246;0,00%;eliminado
SERGIO SAINT;3607;PTC;;971;0,00%;eliminado
MILTON ∂NGELO;3608;PTC;;222;0,00%;eliminado
LUIZ NETO;3609;PTC;;91;0,00%;eliminado
MARCO ANTONIO CAPIVARA;3610;PTC;;525;0,00%;eliminado
EDSOM M.;3611;PTC;;650;0,00%;eliminado
DARLEY PISTORI;3612;PTC;;391;0,00%;eliminado
FABIO GUEDES;3613;PTC;;2.336;0,01%;eliminado
POMARO;3614;PTC;;418;0,00%;eliminado
MARIA MILAN;3615;PTC;;881;0,00%;eliminado
JEFFERSON TORRES;3616;PTC;;482;0,00%;eliminado
BATISTA;3617;PTC;;232;0,00%;eliminado
REGINA FERNANDEZ;3618;PTC;;107;0,00%;eliminado
ANTONIO PENHA;3619;PTC;;93;0,00%;eliminado
CIRÄO;3620;PTC;;329;0,00%;eliminado
TIA REGINA;3621;PTC;;173;0,00%;eliminado
MARIA LUIZA BOZZOLO;3622;PTC;;2.406;0,01%;eliminado
ADILSON VEN∂NCIO;3623;PTC;;429;0,00%;eliminado
PROFESSOR SAULO PONTES;3624;PTC;;374;0,00%;eliminado
KASSAB;3625;PTC;;1.092;0,01%;eliminado
ADELMAR BADECA;3626;PTC;;0;0,00%;eliminado
ARLETE LUNGOV;3627;PTC;;73;0,00%;eliminado
AUGUSTO CERDEIRINHO;3628;PTC;;496;0,00%;eliminado
BERNARDOCHI;3629;PTC;;127;0,00%;eliminado
CANDICE CRUVINEL;3630;PTC;;140;0,00%;eliminado
ORLANDO;3631;PTC;;0;0,00%;eliminado
ALFREDO SILVA NETO;3632;PTC;;709;0,00%;eliminado
CINTI;3633;PTC;;2.181;0,01%;eliminado
PADOVAN;3634;PTC;;245;0,00%;eliminado
SIRLEIVA OLIVEIRA;3635;PTC;;312;0,00%;eliminado
RONALDO ESPER;3636;PTC;;3.354;0,02%;eliminado
SARAH RAMOS;3637;PTC;;268;0,00%;eliminado
PAES DE LIRA;3638;PTC;;38.118;0,18%;eliminado
DR. AFFONSO;3639;PTC;;0;0,00%;eliminado
JAIR AVELINO;3640;PTC;;1.891;0,01%;eliminado
AGNALDO SAMPAIO;3641;PTC;;0;0,00%;eliminado
CLAUDIA LOPES;3642;PTC;;39;0,00%;eliminado
PROF. CARDY;3643;PTC;;390;0,00%;eliminado
BRANCO;3644;PTC;;1.231;0,01%;eliminado
LUIZ CARLOS VAZ DE LIMA;3645;PTC;;219;0,00%;eliminado
Zê DA ESTRADA;3646;PTC;;1.043;0,00%;eliminado
HERBERTH DE SOUZA;3647;PTC;;1.919;0,01%;eliminado
ADRIANA RENAULT;3648;PTC;;455;0,00%;eliminado
EDUARDO LORENZINI;3649;PTC;;321;0,00%;eliminado
DR. MAZZEU;3650;PTC;;8.585;0,04%;eliminado
MARTA;3651;PTC;;202;0,00%;eliminado
ANDERSON VALENTE;3652;PTC;;382;0,00%;eliminado
ROBERTO CARDOZO;3653;PTC;;668;0,00%;eliminado
JOSê HORTA;3654;PTC;;327;0,00%;eliminado
JANICE FAVARETO;3655;PTC;;290;0,00%;eliminado
ALDA;3656;PTC;;216;0,00%;eliminado
AGENTE GEAN;3657;PTC;;208;0,00%;eliminado
HELENA ALONSO;3659;PTC;;350;0,00%;eliminado
JO«O GUILHERME;3661;PTC;;257;0,00%;eliminado
CILENE;3662;PTC;;97;0,00%;eliminado
RICARDO CASTELLUCCI;3663;PTC;;403;0,00%;eliminado
MORON;3664;PTC;;0;0,00%;eliminado
LUIS CARLOS DO RX;3665;PTC;;601;0,00%;eliminado
LUC÷;3666;PTC;;256;0,00%;eliminado
ZETTI;3667;PTC;;2.005;0,01%;eliminado
JOE;3668;PTC;;375;0,00%;eliminado
GABRIEL ALCALµ;3669;PTC;;277;0,00%;eliminado
CORONEL EMILIO;3670;PTC;;571;0,00%;eliminado
JO«O CUNHA;3671;PTC;;199;0,00%;eliminado
HELEN;3672;PTC;;80;0,00%;eliminado
MARCUS VINICIUS;3673;PTC;;328;0,00%;eliminado
BINDI;3675;PTC;;471;0,00%;eliminado
PALHAÄO DUDA SHOW;3676;PTC;;129;0,00%;eliminado
PROF. CRISTIANO;3677;PTC;;1.086;0,01%;eliminado
NANI;3678;PTC;;597;0,00%;eliminado
PROFESSOR ROCHA;3679;PTC;;0;0,00%;eliminado
REVERENDO DINARTE;3680;PTC;;7.839;0,04%;eliminado
SUELI;3681;PTC;;21;0,00%;eliminado
BOMBEIRO PAULO ROBERTO;3682;PTC;;298;0,00%;eliminado
REGINALDO PERUSSI;3683;PTC;;163;0,00%;eliminado
PRFß ROBERTO ZUZA;3684;PTC;;909;0,00%;eliminado
ROGERIO MILAGRE;3685;PTC;;1.734;0,01%;eliminado
ALEXANDRE FREITHAS;3686;PTC;;519;0,00%;eliminado
ULIANI;3687;PTC;;185;0,00%;eliminado
ELZA JANONI;3688;PTC;;9.071;0,04%;eliminado
ZENAIDE;3689;PTC;;663;0,00%;eliminado
ANTONIO LORDE SOBRINHO;3690;PTC;;0;0,00%;eliminado
SERGIO MURAD;3691;PTC;;53;0,00%;eliminado
ALVARO JOSê;3692;PTC;;252;0,00%;eliminado
CHARLES;3696;PTC;;1.124;0,01%;eliminado
JEAN CARLOS;3698;PTC;;291;0,00%;eliminado
PROMOTOR ARTHUR;3699;PTC;;7.544;0,04%;eliminado
NêFI TALES;1900;PTN;;2.915;0,01%;eliminado
EMILIA;1901;PTN;;54;0,00%;eliminado
MARIA NICE;1903;PTN;;0;0,00%;eliminado
DR. OSSIAS SCHEFLER;1904;PTN;;0;0,00%;eliminado
IVANY;1905;PTN;;0;0,00%;eliminado
ELCIO PIRES;1907;PTN;;529;0,00%;eliminado
PROF¶ ANDRêA;1908;PTN;;203;0,00%;eliminado
SILAS VAZ;1909;PTN;;1.175;0,01%;eliminado
ANDRê GAETTA;1910;PTN;;337;0,00%;eliminado
MULHER P“RA;1911;PTN;;0;0,00%;eliminado
JOSê DAIZIO FERREIRA;1912;PTN;;636;0,00%;eliminado
BONIFAZI;1913;PTN;;495;0,00%;eliminado
MARIA JOSEFA;1915;PTN;;140;0,00%;eliminado
PROFß DARLECIO;1916;PTN;;713;0,00%;eliminado
LUIZINHO DO FERRO VELHO;1917;PTN;;1.032;0,00%;eliminado
LAURINDO DE OLIVEIRA;1918;PTN;;1.242;0,01%;eliminado
MAGUILA;1919;PTN;;2.951;0,01%;eliminado
TAND«O;1920;PTN;;4.983;0,02%;eliminado
WASHINGTON LUIZ;1921;PTN;;418;0,00%;eliminado
GERALDINHO;1922;PTN;;806;0,00%;eliminado
VAGNER MOURA;1923;PTN;;1.067;0,01%;eliminado
MARIA BONITA;1924;PTN;;0;0,00%;eliminado
VANDERLEI ALMEIDA;1925;PTN;;507;0,00%;eliminado
RONALDO BRITO;1926;PTN;;0;0,00%;eliminado
ORTEGA;1929;PTN;;444;0,00%;eliminado
DR. CASTRO;1933;PTN;;958;0,00%;eliminado
TIKINHO;1935;PTN;;147;0,00%;eliminado
TETRANETO DO ZUMBI DOS PALMARE;1936;PTN;;360;0,00%;eliminado
LEANDRO SANTOS;1938;PTN;;0;0,00%;eliminado
MARIA MESQUITA;1939;PTN;;220;0,00%;eliminado
REYNALDO PANELLA;1942;PTN;;222;0,00%;eliminado
ISAIAS ALVES;1944;PTN;;234;0,00%;eliminado
PROFESSOR IDALINO;1945;PTN;;906;0,00%;eliminado
JORGE ALFREDO;1946;PTN;;0;0,00%;eliminado
PRß DANIEL J. SANTOS;1947;PTN;;184;0,00%;eliminado
RUTH ARANTES;1950;PTN;;517;0,00%;eliminado
DR. JAMBERG;1951;PTN;;2;0,01%;eliminado
JOSê ARAUJO SQUANTO;1952;PTN;;0;0,00%;eliminado
CHAPêU DE COURO;1953;PTN;;143;0,00%;eliminado
MARCELO FRANCIS;1955;PTN;;218;0,00%;eliminado
LUCIANO ENêAS;1956;PTN;;0;0,00%;eliminado
CIPRIANO;1958;PTN;;0;0,00%;eliminado
PROFESSORA CLAUDETE GOMES;1959;PTN;;153;0,00%;eliminado
ELADIO DO MERCADO;1960;PTN;;548;0,00%;eliminado
DIDI;1963;PTN;;0;0,00%;eliminado
RENATA DA COM;1964;PTN;;55;0,00%;eliminado
RENATO BARROS;1965;PTN;;928;0,00%;eliminado
COSME FELIX;1966;PTN;;929;0,00%;eliminado
CAMERON BRASIL;1969;PTN;;9.964;0,05%;eliminado
GUSTAVO MORANDI;1970;PTN;;0;0,00%;eliminado
MARIA JOSê;1971;PTN;;0;0,00%;eliminado
FERNANDO PASSONI;1973;PTN;;322;0,00%;eliminado
BINLADEN;1975;PTN;;226;0,00%;eliminado
HêLIO;1977;PTN;;1.977;0,01%;eliminado
BEB“ - NHANDEARA;1979;PTN;;0;0,00%;eliminado
DRA. V∂NIA;1980;PTN;;1.527;0,01%;eliminado
NASCIMENTO;1981;PTN;;0;0,00%;eliminado
JOSê LEME;1984;PTN;;376;0,00%;eliminado
WILLIAM ROCHA;1985;PTN;;37;0,00%;eliminado
FABIANA VIEIRA DE SOUSA;1986;PTN;;0;0,00%;eliminado
RIBAMAR BEZERRA;1987;PTN;;0;0,00%;eliminado
ANSELMO;1988;PTN;;0;0,00%;eliminado
MARINALVA;1989;PTN;;392;0,00%;eliminado
DR. HILTON MORAES;1990;PTN;;1.933;0,01%;eliminado
ROBERTO JORGE;1991;PTN;;0;0,00%;eliminado
ANTONIO CLAUDIO DA RµDIO;1993;PTN;;0;0,00%;eliminado
PR¶. EXPEDITA;1996;PTN;;295;0,00%;eliminado
CARLINHOS;1999;PTN;;2.303;0,01%;eliminado
GUILHERME MUSSI;4300;PV;;98.702;0,46%;eleito
GILBERTO ABREU;4301;PV;;17.312;0,08%;eliminado
WALTER GONZALIS;4303;PV;;8.653;0,04%;eliminado
MARIAM KHALIL;4304;PV;;0;0,00%;eliminado
DR. NEVTON OLIVEIRA ROCHA;4305;PV;;1.732;0,01%;eliminado
DR TALMIR;4306;PV;;31.262;0,15%;eliminado
VICENTE DA UPA;4307;PV;;47.923;0,22%;eliminado
EDNA MARTINS;4308;PV;;28.852;0,14%;eliminado
ELIANE BOSIO;4309;PV;;343;0,00%;eliminado
RA÷;4310;PV;;2.089;0,01%;eliminado
DR. SINVAL MALHEIROS;4311;PV;;59.209;0,28%;eleito
DANIEL MARINS;4312;PV;;12.142;0,06%;eliminado
JULIO CASTILHO;4313;PV;;11.477;0,05%;eliminado
ROBERTO SANTIAGO;4315;PV;;60.18;0,28%;eleito
DR INDIO;4316;PV;;1.08;0,01%;eliminado
PESSEGATTI;4317;PV;;365;0,00%;eliminado
SAMBIASE;4318;PV;;638;0,00%;eliminado
JOCA;4319;PV;;0;0,00%;eliminado
CESAR CORTEZ;4320;PV;;13.781;0,06%;eliminado
ZICA;4321;PV;;27.994;0,13%;eliminado
CHICO SANTA RITA;4322;PV;;9.873;0,05%;eliminado
PEDRO MANH«ES;4323;PV;;22.149;0,10%;eliminado
NUBIA SENNA;4324;PV;;2.736;0,01%;eliminado
ENG PAULINHO;4325;PV;;17.326;0,08%;eliminado
HELIVANE BOTELHO DA SILVEIRA;4326;PV;;1.038;0,00%;eliminado
DEUSDEDIT JR;4327;PV;;3.843;0,02%;eliminado
VITALMO JÈNIOR;4328;PV;;925;0,00%;eliminado
ANDRê FALCON;4329;PV;;690;0,00%;eliminado
MARIA DOLORES;4330;PV;;3.097;0,01%;eliminado
JAIME ROCHA;4331;PV;;1.332;0,01%;eliminado
MARTA MACIEL;4332;PV;;788;0,00%;eliminado
JOVINO C∂NDIDO;4333;PV;;18.145;0,09%;eliminado
ANA PAULA JUNQUEIRA;4334;PV;;30.951;0,15%;eliminado
MARINO BONACCHI;4335;PV;;1.497;0,01%;eliminado
EVANDRO GUSSI;4336;PV;;55.7;0,26%;eliminado
TOFFANO;4337;PV;;45.533;0,21%;eliminado
SUELY SILVA;4338;PV;;1.637;0,01%;eliminado
FAUSTO LOPES;4339;PV;;2.972;0,01%;eliminado
ALE YOUSSEF;4340;PV;;18.562;0,09%;eliminado
MARCELO ORTIZ;4341;PV;;41.679;0,20%;eliminado
TEREZA RODRIGUES;4342;PV;;467;0,00%;eliminado
PENNA;4343;PV;;78.301;0,37%;eleito
