DRA. ELAINE;4055;PSB;PSL / PSB;55571;eliminado
CARLOS OCTAVIANI;1115;PP;;52740;eliminado
CAPITÃO AUGUSTO;4020;PSB;PSL / PSB;49216;eliminado
VICENTE DA UPA;4307;PV;;47923;eliminado
ZULAIÊ COBRA;2529;DEM;PPS / DEM / PSDB;46494;eliminado
DR NECHAR;1169;PP;;46165;eliminado
FRANK AGUIAR;1470;PTB;;46154;eliminado
DRA. ROSIANE FARIAS;4045;PSB;PSL / PSB;45862;eliminado
TOFFANO;4337;PV;;45533;eliminado
CASCIONE;2569;DEM;PPS / DEM / PSDB;45276;eliminado
VILSON ALVES;4377;PV;;43873;eliminado
SALVADOR ZIMBALDI;1250;PDT;;42743;eleito
TECO;4370;PV;;41703;eliminado
MARCELO ORTIZ;4341;PV;;41679;eliminado
NEY SANTOS;2023;PSC;PSC / PHS;40321;eliminado
EDUARDO COELHO;1515;PMDB;;40302;eliminado
MANOEL ANTUNES;1236;PDT;;40238;eliminado
CARLOS HENRIQUE;1242;PDT;;40031;eliminado
ELISEU DANIEL;1213;PDT;;39241;eliminado
PAES DE LIRA;3638;PTC;;38118;eliminado
KIKO DO KLB;2520;DEM;PPS / DEM / PSDB;38070;eliminado
DR LUIZ CHIAPARINE;1234;PDT;;37568;eliminado
ELISEU GABRIEL;4012;PSB;PSL / PSB;37564;eliminado
PROF. CARLÃO RAMIRO;1333;PT;PRB / PT / PR / PC do B / PT do B;36899;eliminado
LUCIANA COSTA;2250;PR;PRB / PT / PR / PC do B / PT do B;36873;eliminado
JOÃO FADEL;1130;PP;;36078;eliminado
HENRIQUE NUNES;4395;PV;;35922;eliminado
NELSON BUGALHO;4588;PSDB;PPS / DEM / PSDB;35581;eliminado
MEDEIROS;1230;PDT;;34904;eliminado
MANOEL GASPAR;2088;PSC;PSC / PHS;34469;eliminado
PIVATTO;1330;PT;PRB / PT / PR / PC do B / PT do B;34359;eliminado
TORINO;4025;PSB;PSL / PSB;34080;eliminado
CARLOS BRAGA;4520;PSDB;PPS / DEM / PSDB;33231;eliminado
GERSON SARTORI;1320;PT;PRB / PT / PR / PC do B / PT do B;32847;eliminado
TONIOLO;4456;PRP;PSDC / PRTB / PRP;32712;eliminado
RAUL CHRISTIANO;4511;PSDB;PPS / DEM / PSDB;31468;eliminado
DR TALMIR;4306;PV;;31262;eliminado
DRA ADRIANA DA COSTA;1143;PP;;31119;eliminado
DURVAL ORLATO;1355;PT;PRB / PT / PR / PC do B / PT do B;31114;eliminado
ANA PAULA JUNQUEIRA;4334;PV;;30951;eliminado
KAREN HEINS;1220;PDT;;30898;eliminado
NETO BELUCI;1181;PP;;29822;eliminado
CLAURY;1400;PTB;;29265;eliminado
LARGUESA;1311;PT;PRB / PT / PR / PC do B / PT do B;29168;eliminado
CRESPO;2522;DEM;PPS / DEM / PSDB;28907;eliminado
EDNA MARTINS;4308;PV;;28852;eliminado
FERNANDO CHIARELLI;1256;PDT;;28712;eliminado
FERNANDO FUAD CHUCRE;4566;PSDB;PPS / DEM / PSDB;28485;eliminado
ZICA;4321;PV;;27994;eliminado
JUNIOR APRILLANTI;6512;PC DO B;PRB / PT / PR / PC do B / PT do B;27359;eliminado
MISSIONARIA NAZARE;2002;PSC;PSC / PHS;26287;eliminado
ROBSON TUMA;1414;PTB;;25849;eliminado
CORAUCI;4041;PSB;PSL / PSB;25802;eliminado
GUSTAVO HERRMANN;4009;PSB;PSL / PSB;25703;eliminado
VALDEVAN NOVENTA;1290;PDT;;25256;eliminado
AGNALDO TIMOTEO;2212;PR;PRB / PT / PR / PC do B / PT do B;25174;eliminado
STANGARLINI;4510;PSDB;PPS / DEM / PSDB;24621;eliminado
GRAÇA;4077;PSB;PSL / PSB;24112;eliminado
SIDNEY DUTRA;3377;PMN;;23984;eliminado
